,dTime,open,high,low,close,volume,count
0,2022-01-12 23:30:00,38437.0,38447.4,38437.1,38443.2,0.53588231,0.53588231
1,2022-01-12 23:33:00,38446.8,38510.7,38486.7,38510.7,0.70987668,0.70987668
2,2022-01-12 23:36:00,38505.4,38521.9,38511.0,38521.8,0.5360332400000001,0.5360332400000001
3,2022-01-12 23:39:00,38521.8,38538.1,38514.3,38510.0,0.62305517,0.62305517
4,2022-01-12 23:42:00,38510.1,38514.3,38510.1,38511.6,1.28113055,1.28113055
5,2022-01-12 23:45:00,38514.3,38514.3,38514.3,38500.1,1.84785991,1.84785991
6,2022-01-12 23:48:00,38505.6,38505.6,38495.6,38495.7,0.8999187799999999,0.8999187799999999
7,2022-01-12 23:51:00,38502.1,38502.1,38481.0,38475.0,0.68173662,0.68173662
8,2022-01-12 23:54:00,38475.1,38477.8,38475.1,38475.0,0.76142957,0.76142957
9,2022-01-12 23:57:00,38475.1,38475.1,38450.0,38445.7,0.33016211,0.33016211
10,2022-01-13 00:00:00,38445.8,38445.8,38438.9,38430.3,1.30560016,1.30560016
11,2022-01-13 00:03:00,38430.3,38510.9,38449.9,38510.9,1.97901387,1.97901387
12,2022-01-13 00:06:00,38511.0,38525.0,38506.4,38497.8,4.96840711,4.96840711
13,2022-01-13 00:09:00,38502.6,38543.1,38506.4,38469.6,0.49061895,0.49061895
14,2022-01-13 00:12:00,38471.3,38477.5,38470.1,38470.0,0.42289226,0.42289226
15,2022-01-13 00:15:00,38437.5,38444.5,38440.4,38430.1,1.19150918,1.19150918
16,2022-01-13 00:18:00,38430.2,38437.6,38413.3,38410.0,1.5905189700000002,1.5905189700000002
17,2022-01-13 00:21:00,38410.0,38410.0,38403.8,38393.4,0.19801058,0.19801058
18,2022-01-13 00:24:00,38394.2,38401.8,38393.7,38393.7,0.29421319,0.29421319
19,2022-01-13 00:27:00,38393.7,38422.9,38403.8,38422.0,0.33113964,0.33113964
20,2022-01-13 00:30:00,38422.7,38424.0,38423.9,38423.9,0.04220512,0.04220512
21,2022-01-13 00:33:00,38412.4,38412.4,38398.2,38390.2,0.49370231000000003,0.49370231000000003
22,2022-01-13 00:36:00,38396.8,38400.7,38389.8,38389.7,0.36318723999999997,0.36318723999999997
23,2022-01-13 00:39:00,38389.7,38389.8,38389.8,38389.8,0.0425393,0.0425393
24,2022-01-13 00:42:00,38389.8,38398.2,38390.1,38389.8,0.24442392999999996,0.24442392999999996
25,2022-01-13 00:45:00,38389.8,38389.8,38355.1,38316.4,10.19446332,10.19446332
26,2022-01-13 00:48:00,38329.6,38354.6,38339.1,38333.9,6.71046728,6.71046728
27,2022-01-13 00:51:00,38328.4,38328.4,38316.2,38255.0,10.165174500000001,10.165174500000001
28,2022-01-13 00:54:00,38252.0,38307.0,38285.5,38295.8,11.123995659999999,11.123995659999999
29,2022-01-13 00:57:00,38295.8,38295.8,38281.0,38277.8,7.6057241399999995,7.6057241399999995
30,2022-01-13 01:00:00,38277.9,38316.1,38281.9,38316.1,10.32731489,10.32731489
31,2022-01-13 01:03:00,38333.0,38333.0,38311.9,38295.9,11.0679711,11.0679711
32,2022-01-13 01:06:00,38295.8,38324.3,38295.8,38324.3,13.82057052,13.82057052
33,2022-01-13 01:09:00,38325.1,38339.9,38335.9,38315.9,7.61294513,7.61294513
34,2022-01-13 01:12:00,38323.4,38349.9,38321.3,38349.9,0.81874376,0.81874376
35,2022-01-13 01:15:00,38347.4,38347.9,38342.7,38342.7,1.68387173,1.68387173
36,2022-01-13 01:18:00,38340.6,38340.6,38325.0,38331.2,2.7602372400000004,2.7602372400000004
37,2022-01-13 01:21:00,38325.1,38328.8,38320.1,38320.0,0.06717514,0.06717514
38,2022-01-13 01:24:00,38301.7,38301.7,38283.9,38283.9,0.30068122,0.30068122
39,2022-01-13 01:27:00,38277.0,38277.5,38257.5,38222.2,0.98961388,0.98961388
40,2022-01-13 01:30:00,38219.1,38219.1,38211.6,38211.6,0.18650330999999998,0.18650330999999998
41,2022-01-13 01:33:00,38211.6,38211.7,38202.8,38202.8,0.31563102000000004,0.31563102000000004
42,2022-01-13 01:36:00,38202.8,38202.8,38170.1,38170.1,1.05810358,1.05810358
43,2022-01-13 01:39:00,38170.0,38182.0,38170.0,38175.0,2.2769691699999997,2.2769691699999997
44,2022-01-13 01:42:00,38170.7,38170.7,38164.2,38158.6,0.47934299,0.47934299
45,2022-01-13 01:45:00,38156.0,38159.9,38136.2,38116.1,0.61503463,0.61503463
46,2022-01-13 01:48:00,38124.0,38136.7,38124.0,38136.7,0.41916745,0.41916745
47,2022-01-13 01:51:00,38139.0,38193.1,38139.0,38183.2,0.33153087,0.33153087
48,2022-01-13 01:54:00,38187.0,38187.2,38159.9,38159.9,0.33973454000000003,0.33973454000000003
49,2022-01-13 01:57:00,38159.9,38165.8,38164.6,38165.8,0.11703803,0.11703803
