,Unnamed: 0,TemperatureC,Dew PointC,Humidity,Sea Level PressurehPa,VisibilityKm,WindDirDegrees,energyConsumption,Date,sin_hour,cos_hour,sin_day,cos_day,sin_month,cos_month
0,0,8.3,2.2,66.0,1018.3,16.1,280.0,24.92155,2012-01-01 00:00:00,0.0,1.0,0.20791169081775931,0.9781476007338057,0.49999999999999994,0.8660254037844387
1,1,7.8,2.2,68.0,1018.5,16.1,290.0,24.75485,2012-01-01 01:00:00,0.25881904510252074,0.9659258262890683,0.20791169081775931,0.9781476007338057,0.49999999999999994,0.8660254037844387
2,2,6.1,1.7,74.0,1018.7,16.1,240.0,24.6715,2012-01-01 02:00:00,0.49999999999999994,0.8660254037844387,0.20791169081775931,0.9781476007338057,0.49999999999999994,0.8660254037844387
3,3,3.9,1.1,82.0,1019.1,16.1,0.0,24.75485,2012-01-01 03:00:00,0.7071067811865475,0.7071067811865476,0.20791169081775931,0.9781476007338057,0.49999999999999994,0.8660254037844387
4,4,,,,,,,24.75485,2012-01-01 04:00:00,0.8660254037844386,0.5000000000000001,0.20791169081775931,0.9781476007338057,0.49999999999999994,0.8660254037844387
5,5,1.7,0.6,92.0,1019.6,14.5,0.0,25.0049,2012-01-01 05:00:00,0.9659258262890683,0.25881904510252074,0.20791169081775931,0.9781476007338057,0.49999999999999994,0.8660254037844387
6,6,2.2,0.6,89.0,1019.9,12.9,210.0,25.58835,2012-01-01 06:00:00,1.0,6.123233995736766e-17,0.20791169081775931,0.9781476007338057,0.49999999999999994,0.8660254037844387
7,7,2.2,1.1,93.0,1020.2,9.7,0.0,25.25495,2012-01-01 07:00:00,0.9659258262890683,-0.25881904510252063,0.20791169081775931,0.9781476007338057,0.49999999999999994,0.8660254037844387
8,8,5.0,2.8,86.0,1020.1,16.1,0.0,25.42165,2012-01-01 08:00:00,0.8660254037844387,-0.4999999999999998,0.20791169081775931,0.9781476007338057,0.49999999999999994,0.8660254037844387
9,9,8.3,3.3,71.0,1019.6,16.1,0.0,26.42185,2012-01-01 09:00:00,0.7071067811865476,-0.7071067811865475,0.20791169081775931,0.9781476007338057,0.49999999999999994,0.8660254037844387
10,10,10.6,3.9,63.0,1018.4,16.1,180.0,27.172,2012-01-01 10:00:00,0.49999999999999994,-0.8660254037844387,0.20791169081775931,0.9781476007338057,0.49999999999999994,0.8660254037844387
11,11,11.7,3.3,57.0,1016.7,16.1,190.0,27.58875,2012-01-01 11:00:00,0.258819045102521,-0.9659258262890682,0.20791169081775931,0.9781476007338057,0.49999999999999994,0.8660254037844387
12,12,,,,,,,27.8388,2012-01-01 12:00:00,1.2246467991473532e-16,-1.0,0.20791169081775931,0.9781476007338057,0.49999999999999994,0.8660254037844387
13,13,12.8,3.3,53.0,1012.8,16.1,0.0,27.6721,2012-01-01 13:00:00,-0.2588190451025208,-0.9659258262890683,0.20791169081775931,0.9781476007338057,0.49999999999999994,0.8660254037844387
14,14,12.8,3.3,53.0,1011.4,16.1,190.0,27.58875,2012-01-01 14:00:00,-0.4999999999999997,-0.8660254037844388,0.20791169081775931,0.9781476007338057,0.49999999999999994,0.8660254037844387
15,15,11.1,3.9,61.0,1011.3,16.1,170.0,27.08865,2012-01-01 15:00:00,-0.7071067811865471,-0.7071067811865479,0.20791169081775931,0.9781476007338057,0.49999999999999994,0.8660254037844387
16,16,11.1,4.4,63.0,1009.7,16.1,160.0,26.3385,2012-01-01 16:00:00,-0.8660254037844384,-0.5000000000000004,0.20791169081775931,0.9781476007338057,0.49999999999999994,0.8660254037844387
17,17,10.6,5.0,68.0,1009.1,16.1,180.0,26.3385,2012-01-01 17:00:00,-0.9659258262890683,-0.25881904510252063,0.20791169081775931,0.9781476007338057,0.49999999999999994,0.8660254037844387
18,18,10.6,5.6,71.0,1008.2,16.1,170.0,26.0051,2012-01-01 18:00:00,-1.0,-1.8369701987210297e-16,0.20791169081775931,0.9781476007338057,0.49999999999999994,0.8660254037844387
19,19,10.0,7.2,83.0,1007.3,14.5,170.0,26.0051,2012-01-01 19:00:00,-0.9659258262890684,0.2588190451025203,0.20791169081775931,0.9781476007338057,0.49999999999999994,0.8660254037844387
20,20,10.0,7.2,83.0,1006.5,16.1,190.0,26.0051,2012-01-01 20:00:00,-0.8660254037844386,0.5000000000000001,0.20791169081775931,0.9781476007338057,0.49999999999999994,0.8660254037844387
21,21,12.8,6.1,64.0,1006.6,16.1,240.0,25.3383,2012-01-01 21:00:00,-0.7071067811865477,0.7071067811865474,0.20791169081775931,0.9781476007338057,0.49999999999999994,0.8660254037844387
22,22,11.7,5.6,66.0,1007.0,16.1,260.0,25.3383,2012-01-01 22:00:00,-0.5000000000000004,0.8660254037844384,0.20791169081775931,0.9781476007338057,0.49999999999999994,0.8660254037844387
23,23,,,,,,,25.3383,2012-01-01 23:00:00,-0.25881904510252157,0.9659258262890681,0.20791169081775931,0.9781476007338057,0.49999999999999994,0.8660254037844387
24,24,,,,,,,25.1716,2012-01-02 00:00:00,0.0,1.0,0.40673664307580015,0.9135454576426009,0.49999999999999994,0.8660254037844387
25,25,7.8,-2.2,50.0,1007.8,16.1,270.0,25.1716,2012-01-02 01:00:00,0.25881904510252074,0.9659258262890683,0.40673664307580015,0.9135454576426009,0.49999999999999994,0.8660254037844387
26,26,7.2,-3.3,48.0,1008.3,16.1,270.0,25.42165,2012-01-02 02:00:00,0.49999999999999994,0.8660254037844387,0.40673664307580015,0.9135454576426009,0.49999999999999994,0.8660254037844387
27,27,6.1,-5.0,45.0,1008.1,16.1,270.0,25.1716,2012-01-02 03:00:00,0.7071067811865475,0.7071067811865476,0.40673664307580015,0.9135454576426009,0.49999999999999994,0.8660254037844387
28,28,5.6,-3.9,51.0,1008.0,16.1,280.0,25.25495,2012-01-02 04:00:00,0.8660254037844386,0.5000000000000001,0.40673664307580015,0.9135454576426009,0.49999999999999994,0.8660254037844387
